                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3836,                 4.8878,                 4.0776,                0.00284,                0.14058,                 0.0023,                0.00068,                 3.1896,                 4.3742,                 3.8861,                0.07003,                0.00333,                0.00333
                      2,                 2.8918,                 4.4119,                 3.4321,                0.00229,                0.19836,                0.00444,                0.00131,                 2.7714,                 4.0314,                 3.3079,               0.039898,              0.0065314,              0.0065314
                      3,                 2.3937,                 4.0649,                 2.8642,                0.42123,                 0.0315,                0.01356,                0.00465,                 2.3974,                 3.9349,                 2.9076,              0.0096341,              0.0096008,              0.0096008
                      4,                 2.0889,                 3.7783,                 2.5747,                0.39897,                0.06239,                0.04202,                0.01671,                 2.0894,                 3.4704,                 2.6743,               0.009406,               0.009406,               0.009406
                      5,                 1.9629,                 3.5723,                 2.4273,                0.28997,                  0.119,                0.05851,                0.02479,                 1.9843,                 3.3613,                 2.5149,               0.009406,               0.009406,               0.009406
                      6,                 1.8757,                 3.4113,                   2.35,                0.36446,                0.11186,                0.07125,                0.03283,                 1.9497,                 3.2192,                 2.4918,               0.009208,               0.009208,               0.009208
                      7,                 1.8163,                 3.3009,                  2.284,                0.29396,                0.14147,                0.09679,                 0.0466,                 1.8587,                 3.0521,                 2.4047,                0.00901,                0.00901,                0.00901
                      8,                 1.7843,                 3.2139,                 2.2365,                0.28516,                0.16984,                0.11163,                0.05451,                  1.826,                 3.0181,                 2.3247,               0.008812,               0.008812,               0.008812
                      9,                 1.7251,                 3.1243,                 2.1842,                  0.272,                 0.1879,                0.12833,                0.06447,                 1.7613,                 2.8892,                 2.2799,               0.008614,               0.008614,               0.008614
                     10,                 1.6955,                 3.0522,                 2.1485,                0.29679,                0.22226,                0.14578,                0.07373,                 1.7382,                 2.7924,                 2.2305,               0.008416,               0.008416,               0.008416
                     11,                 1.6817,                 2.9914,                 2.1228,                0.33727,                0.22652,                0.15869,                0.08229,                 1.7273,                 2.7476,                 2.2139,               0.008218,               0.008218,               0.008218
                     12,                 1.6595,                 2.9284,                  2.096,                0.23951,                0.22928,                0.17406,                0.08996,                 1.7075,                 2.6862,                 2.1822,                0.00802,                0.00802,                0.00802
                     13,                 1.5957,                 2.8171,                 2.0385,                0.31081,                0.22892,                0.18075,                0.09653,                 1.6914,                 2.6827,                   2.17,               0.007822,               0.007822,               0.007822
                     14,                 1.5654,                 2.7433,                 2.0119,                0.26986,                0.25976,                0.20798,                0.10983,                 1.6773,                 2.5955,                 2.1572,               0.007624,               0.007624,               0.007624
                     15,                 1.6011,                 2.7598,                 2.0467,                0.34312,                0.28804,                0.21616,                0.11916,                 1.6435,                 2.5779,                 2.1293,               0.007426,               0.007426,               0.007426
                     16,                 1.5748,                 2.7306,                 2.0156,                0.27739,                0.28763,                0.23191,                0.12776,                 1.6173,                 2.5237,                  2.088,               0.007228,               0.007228,               0.007228
