                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4111,                 4.7657,                 3.9419,                0.00136,                0.06356,                0.00086,                0.00023,                 3.2337,                 4.4086,                 3.7477,                0.07003,                0.00333,                0.00333
                      2,                 3.1225,                 4.4982,                 3.4545,                0.55357,                0.02906,                0.00452,                0.00136,                 2.7796,                 4.1089,                 3.2602,               0.039898,              0.0065314,              0.0065314
                      3,                 2.5561,                 4.1788,                 2.9505,                0.37277,                 0.0412,                0.01378,                0.00457,                 2.4297,                 3.9138,                 2.8871,              0.0096341,              0.0096008,              0.0096008
                      4,                 2.1871,                 3.8816,                 2.5796,                0.25505,                0.06846,                0.02641,                0.01058,                 2.1814,                  3.646,                 2.6557,               0.009406,               0.009406,               0.009406
                      5,                 2.0128,                 3.6756,                 2.3888,                0.35733,                0.07927,                  0.038,                0.01568,                 2.0625,                 3.4463,                 2.5146,               0.009406,               0.009406,               0.009406
                      6,                 1.9332,                  3.521,                 2.2949,                0.31704,                0.08955,                0.05814,                0.02575,                 1.9853,                 3.2769,                 2.3883,               0.009208,               0.009208,               0.009208
                      7,                 1.8611,                 3.4067,                 2.2177,                0.35303,                0.12884,                0.07955,                0.03767,                 1.9289,                 3.1495,                 2.3662,                0.00901,                0.00901,                0.00901
                      8,                 1.8231,                 3.3141,                 2.1797,                0.28869,                0.15517,                0.10235,                 0.0459,                 1.8649,                 3.0062,                 2.2652,               0.008812,               0.008812,               0.008812
                      9,                 1.7766,                  3.229,                 2.1313,                0.30101,                0.18518,                0.11326,                0.05411,                 1.8402,                 2.9475,                 2.2376,               0.008614,               0.008614,               0.008614
                     10,                 1.7513,                 3.1614,                 2.0978,                0.26486,                0.17631,                  0.122,                0.05999,                 1.7896,                 2.8966,                 2.1827,               0.008416,               0.008416,               0.008416
                     11,                 1.7243,                 3.1068,                  2.071,                0.27953,                0.22297,                0.14138,                0.06795,                 1.7766,                 2.8418,                 2.1519,               0.008218,               0.008218,               0.008218
                     12,                 1.7049,                 3.0585,                  2.052,                0.35709,                0.20608,                0.15774,                0.08035,                 1.7556,                 2.7683,                  2.135,                0.00802,                0.00802,                0.00802
                     13,                 1.6675,                 2.9632,                 2.0115,                0.35921,                0.21261,                0.16135,                0.08322,                 1.7398,                 2.7013,                 2.1019,               0.007822,               0.007822,               0.007822
                     14,                 1.6648,                 2.9545,                 2.0029,                0.28751,                0.23305,                0.16653,                0.08639,                 1.6986,                 2.7085,                 2.0573,               0.007624,               0.007624,               0.007624
                     15,                 1.6471,                 2.9191,                 1.9883,                0.31639,                0.25066,                 0.1882,                0.09991,                 1.6921,                  2.616,                 2.0678,               0.007426,               0.007426,               0.007426
                     16,                 1.6202,                 2.8684,                 1.9681,                0.26922,                0.25793,                0.19607,                0.10103,                 1.6769,                 2.6206,                 2.0552,               0.007228,               0.007228,               0.007228
                     17,                 1.6052,                 2.8074,                 1.9502,                0.33949,                0.27314,                0.21324,                0.11465,                 1.6646,                 2.5601,                  2.026,                0.00703,                0.00703,                0.00703
                     18,                 1.5924,                 2.7898,                 1.9334,                0.31745,                0.26348,                0.21991,                0.11861,                 1.6575,                 2.5139,                 2.0148,               0.006832,               0.006832,               0.006832
                     19,                 1.5751,                 2.7545,                 1.9228,                0.30881,                0.28144,                0.21914,                0.11587,                 1.6443,                  2.498,                 2.0178,               0.006634,               0.006634,               0.006634
                     20,                 1.5778,                 2.7164,                 1.9093,                0.33352,                0.28055,                0.24371,                0.13287,                 1.6211,                 2.4383,                 1.9829,               0.006436,               0.006436,               0.006436
                     21,                  1.558,                 2.6857,                 1.9048,                0.43643,                0.25297,                0.24725,                0.13184,                 1.6316,                 2.4337,                 1.9944,               0.006238,               0.006238,               0.006238
                     22,                  1.556,                 2.6795,                 1.8925,                 0.3272,                0.30288,                0.25327,                 0.1366,                 1.6049,                 2.3831,                 1.9734,                0.00604,                0.00604,                0.00604
                     23,                 1.5419,                 2.6322,                 1.8892,                0.33649,                0.30682,                0.24499,                0.13547,                 1.5994,                  2.383,                 1.9663,               0.005842,               0.005842,               0.005842
                     24,                 1.5339,                 2.6061,                 1.8753,                0.38592,                0.31443,                0.27953,                0.15298,                 1.5946,                 2.3215,                 1.9404,               0.005644,               0.005644,               0.005644
                     25,                 1.5105,                 2.5494,                 1.8617,                0.36201,                0.29896,                  0.274,                0.15073,                 1.5885,                 2.3328,                 1.9412,               0.005446,               0.005446,               0.005446
                     26,                 1.4998,                 2.5432,                 1.8512,                0.33087,                0.32152,                0.28081,                0.15536,                  1.579,                 2.3148,                 1.9268,               0.005248,               0.005248,               0.005248
                     27,                 1.4955,                 2.5245,                  1.841,                0.36534,                0.34164,                0.29643,                0.16374,                 1.5653,                 2.2633,                 1.9196,                0.00505,                0.00505,                0.00505
                     28,                 1.4755,                 2.4717,                 1.8269,                0.37657,                0.33115,                0.29929,                0.16412,                 1.5761,                 2.2426,                 1.9234,               0.004852,               0.004852,               0.004852
                     29,                 1.4775,                 2.4742,                 1.8234,                0.36168,                0.34405,                 0.3031,                0.16602,                 1.5634,                 2.2199,                 1.9257,               0.004654,               0.004654,               0.004654
                     30,                 1.4758,                 2.4538,                 1.8231,                0.41158,                0.33363,                 0.3123,                0.17587,                 1.5463,                  2.219,                 1.8894,               0.004456,               0.004456,               0.004456
                     31,                 1.4592,                 2.4315,                 1.8154,                0.41932,                 0.3447,                0.32864,                0.18789,                 1.5338,                 2.1641,                 1.8814,               0.004258,               0.004258,               0.004258
                     32,                 1.4459,                  2.387,                 1.7999,                0.43826,                0.33022,                0.33492,                0.19141,                 1.5229,                 2.1542,                 1.8729,                0.00406,                0.00406,                0.00406
                     33,                 1.4444,                 2.3778,                 1.7917,                0.39062,                0.36797,                0.32848,                 0.1915,                 1.5313,                 2.1691,                 1.8828,               0.003862,               0.003862,               0.003862
                     34,                 1.4412,                 2.3625,                 1.7944,                0.41427,                0.34679,                0.33779,                0.19439,                 1.5216,                 2.1422,                 1.8705,               0.003664,               0.003664,               0.003664
                     35,                 1.4207,                 2.3043,                  1.773,                0.42173,                0.33387,                0.34201,                0.19944,                 1.5112,                 2.1198,                 1.8558,               0.003466,               0.003466,               0.003466
                     36,                 1.4259,                 2.3194,                 1.7822,                0.42368,                0.36949,                0.34393,                0.19984,                 1.5023,                  2.103,                 1.8536,               0.003268,               0.003268,               0.003268
                     37,                 1.4213,                 2.3038,                  1.772,                0.41515,                0.38291,                0.34978,                0.20427,                 1.4969,                 2.0858,                 1.8491,                0.00307,                0.00307,                0.00307
                     38,                 1.4003,                 2.2726,                 1.7638,                0.41487,                0.36994,                0.35933,                 0.2087,                 1.4977,                 2.0939,                 1.8517,               0.002872,               0.002872,               0.002872
                     39,                 1.3992,                 2.2383,                 1.7559,                0.43259,                0.37327,                0.36254,                0.21286,                 1.4961,                 2.0835,                 1.8409,               0.002674,               0.002674,               0.002674
                     40,                 1.3941,                  2.244,                 1.7483,                0.44053,                0.36711,                0.36005,                 0.2091,                 1.5048,                 2.0741,                 1.8461,               0.002476,               0.002476,               0.002476
                     41,                 1.4181,                 2.1241,                 1.7945,                0.39972,                0.38785,                0.35846,                0.21239,                 1.4781,                 2.0638,                 1.8298,               0.002278,               0.002278,               0.002278
                     42,                 1.3834,                 2.0668,                 1.7743,                0.46066,                0.36236,                0.36889,                0.21879,                 1.4683,                 2.0567,                 1.8359,                0.00208,                0.00208,                0.00208
                     43,                 1.3771,                  2.049,                 1.7696,                0.42188,                 0.3741,                0.36274,                0.21761,                 1.4629,                 2.0202,                 1.8175,               0.001882,               0.001882,               0.001882
                     44,                 1.3652,                 2.0075,                   1.75,                 0.4413,                0.38523,                0.37645,                0.22462,                 1.4667,                 2.0275,                  1.818,               0.001684,               0.001684,               0.001684
                     45,                 1.3453,                 1.9871,                 1.7399,                 0.4675,                0.38633,                0.39084,                 0.2362,                 1.4615,                 1.9906,                 1.8116,               0.001486,               0.001486,               0.001486
                     46,                 1.3521,                 1.9562,                 1.7307,                0.44846,                0.39852,                0.38529,                0.22998,                 1.4515,                 1.9886,                 1.8093,               0.001288,               0.001288,               0.001288
                     47,                 1.3328,                 1.9317,                 1.7274,                0.46726,                0.38753,                0.39569,                0.23695,                 1.4511,                 1.9772,                  1.805,                0.00109,                0.00109,                0.00109
                     48,                 1.3207,                 1.9208,                 1.7069,                0.46848,                0.39618,                 0.3953,                0.23925,                 1.4467,                 1.9689,                 1.7997,               0.000892,               0.000892,               0.000892
                     49,                 1.3208,                 1.9021,                 1.7115,                0.45668,                0.38033,                0.39526,                0.23965,                 1.4507,                  1.975,                 1.8037,               0.000694,               0.000694,               0.000694
                     50,                 1.3138,                 1.8761,                 1.7093,                0.45715,                0.40213,                0.40199,                0.24406,                 1.4423,                 1.9608,                 1.7969,               0.000496,               0.000496,               0.000496
